id,feature_area,user_story,expected_behavior,source_of_truth,test_method,status,last_result,errors_found,fix_status,evidence,notes
CWB-014,Export cache,"As a user, export actions only enable after PNG generation is ready.",4K PNG export cache is prepared with bounded render time before Save/Copy buttons are enabled.,src/App.tsx,unit:source + visual,passed,export cache and bounded render evidence present,,none,App.tsx; visual-qa-summary.json,checked_at=2026-06-22T01:23:36.624Z
CWB-015,Save as PNG - browser,"As a web preview user, clicking Save as PNG writes a real 4K PNG when file picker exists.",showSaveFilePicker receives an image/png blob with 4096x4096 dimensions and closes the writable stream.,src/App.tsx,browser:save,passed,browser save wrote a 4096 PNG blob,,none,browser-action-summary.json,checked_at=2026-06-22T01:23:36.624Z
CWB-016,Save fallback - browser,"As a web preview user, blocked save actions show an honest fallback.","If no file picker exists, status is error-like and Download/Open fallback links appear.",src/App.tsx,browser:fallback,passed,blocked browser save exposes fallback links,,none,browser-action-summary.json,checked_at=2026-06-22T01:23:36.624Z
CWB-017,Copy Image - browser,"As a web preview user, clicking Copy Image copies a real image.",Clipboard success is claimed only when navigator.clipboard contains image/png; success shows no fallback panel.,src/App.tsx,browser:copy,passed,browser copy writes image/png and no success fallback,,none,browser-action-summary.json,checked_at=2026-06-22T01:23:36.624Z
CWB-018,Copy fallback - browser,"As a web preview user, blocked clipboard actions show an honest fallback.","If direct PNG clipboard is blocked, status explains the block and exposes PNG fallback links.",src/App.tsx,browser:fallback,passed,blocked browser copy exposes fallback links,,none,browser-action-summary.json,checked_at=2026-06-22T01:23:36.624Z
CWB-019,Native save panel,"As a Mac app user, Save as PNG opens a native save sheet.",Tauri save command prompts for a filename and writes the selected PNG path.,src-tauri/src/main.rs,static:native + rust:compile,passed,native save command compiles under Cargo,,none,nativeCheck:ok,checked_at=2026-06-22T01:23:36.624Z
CWB-020,Native clipboard,"As a Mac app user, Copy Image copies a PNG to the macOS clipboard.",Tauri clipboard command writes PNG data through macOS clipboard integration.,src-tauri/src/main.rs,static:native + rust:compile,passed,native clipboard command compiles under Cargo,,none,nativeCheck:ok,checked_at=2026-06-22T01:23:36.624Z
CWB-021,Open in Preview,"As a Mac app user, I can open a saved PNG in Preview.",Saved native PNG can be opened with Preview through the Tauri command.,src-tauri/src/main.rs,static:native + rust:compile,passed,native Preview command compiles under Cargo,,none,nativeCheck:ok,checked_at=2026-06-22T01:23:36.624Z
CWB-022,Removed old actions,"As a user, I only see Save as PNG and Copy Image as primary export actions.",Copy Caption and Reveal in Finder controls are absent from the UI.,src/App.tsx,unit:source + browser:layout,passed,old export actions absent,,none,browser-action-summary.json,checked_at=2026-06-22T01:23:36.624Z
CWB-023,Outcome ledger,"As a user, only verified manual outcomes affect public wins/bugs/gates.",Ledger parser strips dangerous text and only publicSafe entries contribute to manifest metrics.,src/core/outcomes.ts,unit:outcomes + unit:badge,passed,ledger publicSafe and redaction covered,,none,unit:ok,checked_at=2026-06-22T01:23:36.624Z
CWB-024,Privacy doctor,"As a privacy-sensitive user, local exports are checked before release.","Doctor proves no forbidden public data, no network APIs and no browser persistence in the badge app.",scripts/privacy-doctor.ts,doctor,passed,privacy doctor passed,,none,doctor:ok,checked_at=2026-06-22T01:23:36.624Z
CWB-025,Visual export QA,"As a user, exported PNGs are exact square assets.",Visual QA emits 1080x1080 and 4096x4096 PNGs without alpha and deterministic renderer parity.,scripts/visual-qa.ts,visual,passed,visual export QA passed for 1080 and 4096,,none,visual:ok;visual-qa-summary.json,checked_at=2026-06-22T01:23:36.624Z
CWB-026,Browser interaction QA,"As a maintainer, I can replay the critical user path.","Browser QA verifies root input, scan, custom QR URL, Save success, Copy success, blocked fallbacks and no overflow.",scripts/browser-action-qa.mjs,browser:full,passed,browser interaction QA passed,,none,browser:ok;browser-action-summary.json,checked_at=2026-06-22T01:23:36.624Z
CWB-027,Build gate,"As a maintainer, I can prove the web app build is healthy.","codex-badge build runs privacy doctor, unit tests, typecheck and Vite build.",package.json,build,passed,codex-badge build passed,,none,build:ok,checked_at=2026-06-22T01:23:36.624Z
CWB-028,DMG packaging gate,"As a maintainer, I do not claim a DMG without Rust/Tauri proof.",DMG script builds a local disk image or fails before any ready claim.,scripts/codex-badge-dmg-build.mjs,dmg-build,passed,DMG build produced an installable disk image,,none,dmg:ok,checked_at=2026-06-22T01:23:36.624Z
CWB-029,Loop manifest alignment,"As a maintainer, the loop contract matches the current product.","Loop manifest references 4096 PNG artifacts, browser QA and an artifact budget compatible with 4K output.",docs/loops/codex-work-badge-build-gate/loop.manifest.json,static:loop,passed,loop manifest aligned with 4K/browser QA,,none,loop.manifest.json,checked_at=2026-06-22T01:23:36.624Z
CWB-030,Quality gate integration,"As a maintainer, badge gates are part of the workspace quality gate.","quality-gate:evaluate includes badge doctor, tests and visual QA without claiming DMG readiness.",package.json,quality-gate,passed,quality gate includes core badge gates,,none,package.json,checked_at=2026-06-22T01:23:36.624Z
